timestamp,encoding,decodedData
1741699619543,jsonParsed,"6458616306154559387"
1741699619820,base64,"6458616306154559387"
1741699619820,base64+zstd,"6458616306154559387"
1741699619820,jsonParsed,"6458616306154559387"
1741699620105,base64,"6458616306154559387"
1741699620092,base64+zstd,"6458616306154559387"
1741699620088,jsonParsed,"6458616306154559387"
1741699620385,jsonParsed,"6458616306154559387"
1741699620388,base64+zstd,"6458616306154559387"
1741699620381,base64,"6458616306154559387"
1741699620672,base64,"6458616306154559387"
1741699620668,jsonParsed,"6458616306154559387"
1741699620675,base64+zstd,"6458616306154559387"
1741699620949,base64+zstd,"6458616306154559387"
1741699620950,base64,"6458616306154559387"
1741699620951,jsonParsed,"6458616306154559387"
1741699621236,jsonParsed,"6458616306154559387"
1741699621230,base64,"6458616306154559387"
1741699621230,base64+zstd,"6458616306154559387"
1741699621523,base64,"6458616306154559387"
1741699621515,jsonParsed,"6458616306154559387"
1741699621509,base64+zstd,"6458616306154559387"
1741699621802,base64,"6458616306154559387"
1741699621799,jsonParsed,"6458616306154559387"
1741699621800,base64+zstd,"6458616306154559387"
1741699622085,base64,"6458616306154559387"
1741699622075,base64+zstd,"6458616306154559387"
1741699622080,jsonParsed,"6458616306154559387"
1741700793074,base64+zstd,"6479803532867668567"
1741700793087,jsonParsed,"6480868900272283648"
1741700793091,base64,"6480868900272283648"
1741700793408,base64+zstd,"6480868900272283648"
1741700793366,base64,"6480868900272283648"
1741700793367,jsonParsed,"6480868900272283648"
1741700793725,base64,"6480868900272283648"
1741700793685,base64+zstd,"6480868900272283648"
1741700793731,jsonParsed,"6480868900272283648"
1741700794010,base64,"6481105035891572354"
1741700794006,base64+zstd,"6481105035891572354"
1741700794047,jsonParsed,"6481105035891572354"
1741700794322,jsonParsed,"6481524735601513472"
1741700794323,base64+zstd,"6481524735601513472"
1741700794358,base64,"6481524735601513472"
1741700794645,base64,"6481886185156605462"
1741700794633,base64+zstd,"6481886185156605462"
1741700794640,jsonParsed,"6481886185156605462"
1741700794927,base64,"6481886185156605462"
1741700794919,base64+zstd,"6481886185156605462"
1741700794922,jsonParsed,"6481886185156605462"
1741700795204,base64,"6481538104556477125"
1741700795210,base64+zstd,"6481538104556477125"
1741700795253,jsonParsed,"6481538104556477125"
1741700795535,base64+zstd,"6481504934464951443"
1741700795535,jsonParsed,"6481504934464951443"
1741700795542,base64,"6481504934464951443"
